Cand*Necunoscut*4
In ce an , Wilhem, ducele Normandiei, cucereste Anglia?*1066
In ce an , in timpul celui de-al Doilea Razboi Mondial, Russia a declarat razboi Japoniei?*1945
In ce an  suntem*2010
In ce an  sa nascut Wolfgang Amadeus Mozart*1756
In ce an  sa infiintat trupa Mettalica*1981
In ce an  sa infiintat formatia Sarmalele Reci*1993
In ce an  sa format NBA??*1949
In ce an  sa fondat sindicatul Solidaritatea?*1980
In ce an  s-au format Natiunile Unite*1946
In ce an  s-a terminat batalia de la Stalingrad?*1943
In ce an  s-a sfarsit prohibitia in SUA*1933
In ce an  s-a sfarsit primul razboi daco-roman*102
In ce an  s-a semnat tratatul de la Mastrich?*1992
In ce an  s-a semnat Conventia Europeana a Drepturilor Omului?*1950
In ce an  s-a scufundat vasul Titanic ? *1912
In ce an  s-a retras Hagi de la echipa nationala*2000
In ce an  s-a redactat primul cod de concurs in automobilism?*1904
In ce an  s-a realizat prima clonare a unei oi?*1998
In ce an  s-a pus piatra de temelie a Castelului Peles*1884
In ce an  s-a proclamat Uniunea Australiana*1901
In ce an  s-a prabusit zidul Berlinului*1989
In ce an  s-a organizat prim expozitie mondiala*1851
In ce an  s-a nascut William Shakespeare*1564
In ce an  s-a nascut Walt Disney*1901
In ce an  s-a nascut Tina Turner?*1939
In ce an  s-a nascut spaniolul Iker Casillas?*1981
In ce an  s-a nascut Rousseau*1712
In ce an  s-a nascut Regina mama Elizabeth a Marii Britanii?*1900
In ce an  s-a nascut Picasso*1881
In ce an  s-a nascut Nicolae Ceausescu?*1918
In ce an  s-a nascut Mihail Sergheevici Gorbaciov?*1931
In ce an  s-a nascut Mihai Eminescu*1850
In ce an  s-a nascut Michael Jordan?*1963
In ce an  s-a nascut Madonna?*1958
In ce an  s-a nascut Ludwing van Beethoven*1770
In ce an  s-a nascut Louis Armstrong?*1900
In ce an  s-a nascut Leonardo da Vinci*1452
In ce an  s-a nascut Lady Diana Spencer?*1961
In ce an  s-a nascut Issac Newton*1642
In ce an  s-a nascut Isac Newton*1643
In ce an  s-a nascut Iisus Hristos*1
In ce an  s-a nascut Houdini*1874
In ce an  s-a nascut Hagi*1965
In ce an  s-a nascut Grigori Rasputin*1872
In ce an  s-a nascut George Cosbuc*1866
In ce an  s-a nascut Galileo Galilei*1483
In ce an  s-a nascut Fred Astaire*1899
In ce an  s-a nascut francezul Zinedine Zidane?*1972
In ce an  s-a nascut Fidel Ruz Castro?*1927
In ce an  s-a nascut Eminem*1972
In ce an  s-a nascut Dan Bittman?*1962
In ce an  s-a nascut Cristofor Columb*1451
In ce an  s-a nascut Charles Darwin*1809
In ce an  s-a nascut brazilianul Ronaldo?*1976
In ce an  s-a nascut Bill Gates ?*1955
