Literatura*palminteri*5
Cine a scris "A Bend in the River"?*V. S. Naipaul
Cine a scris "A Child's Garden of Verses"?*Robert Louis Stevenson
Cine a scris "Across the River and Into the Trees"?*Ernest Hemingway
Cine a scris "Ada"?*Vladimir Nabokov
Cine a scris "Adam Bede"?*George Eliot
Cine a scris "A Dance to the Music of Time"?*Anthony Powell
Cine a scris "A Death in the Family"?*James Agee
Cine a scris "A Doll's House"?*Henrik Ibsen
Cine a scris "A Dutiful Daughter"?*Thomas Keneally
Cine a scris poemul "Ae Fond Kiss"?*Robert Burns
Cine a scris "A Frolic of His Own"?*William Gaddis
Cine a scris "After Many a Summer"?*Aldous Huxley
Cine a scris poemul "Afternoon of a Faun"?*Stephane Mallarme
Cine a scris "Against the Day"?*Thomas Pynchon
Cine a scris "A general View of positivism"?*Auguste Comte
Cine a scris "A Ghost at Noon"?*Alberto Moravia
Cine a scris "Agnes Grey"?*Anne Bronte
Cine a scris "Ah, but Your Land is Beautiful"?*Alan Paton
Cine a scris "A Hero of Our Time"?*Mihail Lermontov
Cine a scris "A History of the English-Speaking Peoples"?*Winston Churchill
Cine a scris "A Home at the End of the World"?*Michael Cunningham
Cine a scris "A House for Mr. Biswas"?*V. S. Naipaul
Cine a scris "A House in the Uplands"?*Erskine Caldwell
Cine a scris "Airport"?*Arthur Hailey
Cine a scris "A Journey to the Center of the Earth"?*Jules Verne
Cine a scris "Alamut"?*Vladimir Bartol
Cine a scris "Alcools"?*Guillaume Apollinaire
Cine a scris "Alias Grace"?*Margaret Atwood
Cine a scris "Alice Adams"?*Booth Tarkington
Cine a scris "All for Love"?*John Dryden
Cine a scris "All My Sons"?*Arthur Miller
Cine a scris "All Quiet on the Western Front"?*Erich Maria Remarque
Cine a scris piesa de teatru "All's Well That Ends Well"?*William Shakespeare
Cine a scris "A Maggot"?*John Fowles
Cine a scris "A Man of the People"?*Chinua Achebe
Cine a scris poemul "A Man's A Man for A' That"?*Robert Burns
Cine a scris "A Map of the World"?*David Hare
