Geografie*Necunoscut*3
Golful Hudson apartine carei tari?*Canada
Acest rau/fluviu strabate Nantes, FR*Loire
Acest rau/fluviu strabate nordul orasului Moscova *volga
Acest rau/fluviu strabate o mare parte a africii si a tarii Egypt*Nil
Acest rau/fluviu strabate Spania si Portugalia*Tagus
Afluent al Dunarii la Passau? *Inn
Afluent drept al Muresului in aval de Ludus *aries
Afluenti si r uri: In ce r u se varsa Bahluiul ?*Prut
Afluenti si r uri: In ce r u se varsa Trotusul?*Siret
Afluenti si r uri:In ce r u se varsa Iza ?*Tisa
Aisberguri gigantice*ghetari
Al catelea varf din Romania (ca inaltime) este Negoiu*al doilea
Al doilea bloc de gheata permanenta, ca marime, din Romania ? *Ghetarul Focul Viu
Al doilea ca marime, dupa Marele Canion din SUA, este canionul din Namibia care se numeste Canionul .*fish river
Al doilea judet din Romania ca numar de locuitori?*Prahova
Al doilea oras ca marime din Bulgaria?*Plovdiv
Altitudinea maxima (2509 m) din Muntii Retezat se atinge in varful*Peleaga
Altitudinea maxima din Carpatii Orientali se afla in muntii? *Rodnei
Altitudinea varfului Mont Blanc din Alpi( cel mai inalt varf din europa)*4 807m
Amazonul formeaza la varsarea sa in Oceanul Atlantic*un estuar
Ampoiul este afluentul raului ...*Mures
an ce tara se afla Marele Desert al Victoriei ?*Australia
Care este a cincea tara ca dimensiune*Brazilia
Care este al 33-lea varf muntos din lume?*Aconcagua
Care este al cincelea continent, ca marime al lumii*Antarctica
Care este al doilea continent ca marime, din lume*Africa
Care este capiatala statului Albania*Tirana
Care este capiatala statului Argentina*Buenos Aires
Care este capiatala statului Austria*Viena
Care este capiatala statului Belarus*Minsk
care este capiatala statului bolivia*la paz
Care este capiatala statului Brazilia*Brasilia
Care este capiatala statului Canada*Ottawa
Care este capiatala statului Cehia*Praga
Care este capiatala statului Chile*Santiago
Care este capiatala statului China*Beijing
Care este capiatala statului Croatia*Zagreb
Care este capiatala statului Cuba*Havana
Care este capiatala statului Elvetia*Berna
Care este capiatala statului Estonia*Tallin
Care este capiatala statului Irak*Bagdad
Care este capiatala statului Irlanda*Dublin
Care este capiatala statului Islanda*Reykjavik
Care este capiatala statului Japonia*Tokyo
Care este capiatala statului Letonia*Riga
Care este capiatala statului Macedonia*Skopije
Care este capiatala statului Mexic*Ciudad de Mexico
Care este capiatala statului Mongolia*Ulan Bator
Care este capiatala statului Nepal*Katmandu
Care este capiatala statului Oman*Mascat
Care este capiatala statului Pakistan*Islamabad
Care este capiatala statului Paraguay?*asuncion
Care este capiatala statului Paraguay*Asancion
Care este capiatala statului Peru*Lima
Care este capiatala statului Polonia*Varsovia
Care este capiatala statului Portugalia*Lisabona
Care este capiatala statului Turcia*Ankara
Care este capitala Adnorrei*Andorra
Care este capitala Afganistanului*Kabul
Care este capitala Africii Centrale*Bangui
Care este capitala Africii de Sud*Cape Town
Care este capitala Africii de Sud*pretoria
Care este capitala Albaniei*Tirana
Care este capitala Algeriei*Alger
Care este capitala Angliei?*Londra
Care este capitala Angolei*Luanda
Care este capitala Arabiei Saudite*Riad
Care este capitala Argentinei*Buenos Aires
Care este capitala Armeniei*Erevan
Care este capitala Australiei*Canberra
Care este capitala Austriei*viena
Care este capitala Belgiei*Bruxelles
Care este capitala Bielorusiei*Minsk
Care este capitala Boliviei?*Sucre
Care este capitala Boliviei*La Paz
Care este capitala Boliviei*Sucre
Care este capitala Braziliei*Brasilia
Care este capitala Bulgariei*sofia
Care este capitala Cambodgiei?*Phnom Penh
Care este capitala Camerunului*Yaounde
Care este capitala Canadei*Ottawa
Care este capitala Cehiei*Praga
Care este capitala Chinei*Beijing
Care este capitala Ciadului*n'djamena
Care este capitala Ciadului*N'djemena
Care este capitala Ciadului*Ndjemena
Care este capitala Columbiei*Bogota
Care este capitala Coreei*Phenian
Care este capitala Croatiei?*Zagreb
Care este capitala Cubei*Havana
Care este capitala Danemarcei?*Copenhaga
Care este capitala Danemarcei*Copenhaga
Care este capitala din India*new delhi
Care este capitala Ecuadorului *quito
Care este capitala Ecuadorului*Quito
Care este capitala Egiptului*Cairo
Care este capitala Elvetiei*berna
Care este capitala Emiratelor Arabe Unite*Dubai
Care este capitala Estoniei*Tallin
Care este capitala Etiopiei*Addis Abeba
Care este capitala Finlandei*Helsinki
Care este capitala Frantei*Paris
Care este capitala Gabonului*Libraville
Care este capitala Georgiei*Tbilisi
Care este capitala Georgiei*Tibilisi
Care este capitala Ghanei*Accra
Care este capitala Greciei*Atena
Care este capitala Greciei*athena
Care este capitala Guadelupei*Basse-Terre
Care este capitala Guatemalei*Guatemala
Care este capitala Guineei*Conakry
Care este capitala Indonesiei*Jakarta
Care este capitala Insulei Christmas*Flying Fish-Cove
Care este capitala insulei franceze Corsica*Ajaccio
Care este capitala Insulelor Faeroe*Thorshavn
Care este capitala Insulelor Galapagos?*San Cristobal
Care este capitala insulelor Marshall*Majuro
Care este capitala Iordaniei*Amman
Care este capitala Iranului*Teheran
Care este capitala Irlandei de Nord*Belfast
Care este capitala Irlandei*Dublin
Care este capitala Islandei*Reykjavik
Care este capitala Italiei*roma
Care este capitala Iugoslaviei*Belgrad
Care este capitala Japoniei*Tokyo
Care este capitala Jordanului*Amman
Care este capitala Kenyei*Nairobi
Care este capitala Letoniei*riga
Care este capitala Libanului*Beirut
Care este capitala Liberiei*Monrovia
Care este capitala Libiei*Tripoli
Care este capitala Liechtensteinului*Vaduz
Care este capitala Lituaniei*Vilnius
Care este capitala Luxemburgului*Luxemburg
Care este capitala Malayesiei?*Kuala Lumpur
Care este capitala Maltei*La Valletta
Care este capitala Marii Britanii*Londra
Care este capitala Marocului*Rabat
Care este capitala Mauritaniei*Nouakchott
Care este capitala Mexicului?*Mexico City
Care este capitala Mexicului*Ciudad de Mexico
