Gramatica*Aicha*3
Cum se scrie corect? -Eu sunt sau eu sant*eu sunt
Cum se scrie corect? -Inger sau anger? -*inger
Cum se scrie corect? -Reintregire sau reantregire? -*reintregire
Cum se scrie corect? -Hotarand sau horarind*hotarand
Cum se scrie corect? -Fii cuminte! sau Fi cuminte!*Fii cuminte
Cum se scrie corect? -Complet sau complect*Complet
Cum se scrie corect? -Piuneza sau pioneza*Piuneza
Cum se scrie corect? -Serviciu sau Servici*serviciu
Cum se scrie corect? -Mi-ar placea sau Mi-ar place*Mi-ar placea
Cum se scrie corect? -Dati-va jos sau Dadeti-va jos*Dati-va jos
Cum se scrie corect? -Nu face asta sau Nu fa asta*Nu face asta
Cum se scrie corect? -Imi place cineva sau imi place de cineva*Imi place cineva
Cum se scrie corect? -Nes sau Ness*Nes
Cum se scrie corect? -Anticamera sau Antecamera*Anticamera
Cum se scrie corect? -Genuflexiune sau Genoflexiune*genuflexiune
Cum se scrie corect? -sa aiba parte sau Sa aibe parte*Sa aiba parte
Cum se scrie corect? -Presedintie sau Presedentie*Presedintie
Cum se scrie corect? -Greseala sau Gresala*Greseala
Cum se scrie corect? -Antidrog sau anti-drog*antidrog
Cum se scrie corect? -Nerespectuos sau Ne-respectuos
Cum se scrie corect? -A impodobi sau A inpodobi*A impodobi
Cum se scrie corect? -A improsca sau A inprosca*A improsca
Cum se scrie corect? -A imbiba sau A inbiba*A imbiba
Cum se scrie corect? -revelion sau Reveion*revelion
Cum se scrie corect? -Subtire sau Suptire*Subtire
Cum se scrie corect? -Vestezi sau Vesteji*Vestezi
Cum se scrie corect? -Vehicio sau Vehicul*vehicol
Cum se scrie corect? -Petic sau petec*Petic
Cum se scrie corect? -Urticarie sau Urticare*Urticarie
Cum se scrie corect? -Ultraj sau Ultragiu*Ultraj
Cum se scrie corect? -Tigara sau Tigare*Tigara
Cum se scrie corect? -Milieu sau Mileu*Milieu
Cum se scrie corect? -Adauga sau adaoga*Adauga
Cum se scrie corect? -Completa sau Complecta*Completa
Cum se scrie corect? -Clovn sau Calun*Clovn
Cum se scrie corect? -Carbid sau carbit*Carbid
Cum se scrie corect? -Ihter sai Icter*Icter
Cum se scrie corect? -Dilapida sau delapida*Delapida
Cum se scrie corect? -Turcuaz sau Turcoaz*Turcoaz
Cum se scrie corect? -Chilug sau Pilug*Pilug
Cum se scrie corect? -Lantuc sau Lantug*Lantug
Cum se scrie corect? -Graham sau grahan*Graham
Cum se scrie corect? -complementar sau complimentar*Complementar
Cum se scrie corect? -Pasamite sau Pasa-mi-te*Pasamite
Cum se scrie corect? -patinuar sau patinoar*patinoar
Cum se scrie corect? -Leitmotiv sau Laitmotiv*Leitmotiv
Cum se scrie corect? -Juristconsult sau Jurisconsult*jurisconsult
Cum se scrie corect? -Lescaie sau Lascaie*lascaie
Cum se scrie corect? -Sesiune sau seziune*Sesiune
Cum se scrie corect? -Diseara sau deseara*Deseara
