Matematica*Necunoscut*1
Cat fac 40  +  80  = .........*120
Cat fac 111  -  86  = .........*25
Cat fac 19  +  93  = .........*112
Cat fac 100  +  34  = .........*134
Cat fac 12  x  61  = .........*732
Cat fac 142   - 62  = .........*80
Cat fac 260 : 10  = .........*26
Cat fac 15  x  21  = .........*315
Cat fac 2  x  58  = .........*116
Cat fac 2  x  83  = .........*166
Cat fac 161  -  21  = .........*140
Cat fac 12  x  7  = .........*84
Cat fac 2  x  47  = .........*94
Cat fac 3  x  5  = .........*15
Cat fac 20  +  19  = .........*39
Cat fac 196 : 2  = .........*98
Cat fac 195  -  11  = .........*184
Cat fac 72 : 2  = .........*36
Cat fac 78  +  81  = .........*159
Cat fac 195  -  89  = .........*106
Cat fac 150  -  12  = .........*138
Cat fac 170  -  98  = .........*72
Cat fac 21  +  25  = .........*46
Cat fac 192 : 6  = .........*32
Cat fac 63  +  92  = .........*155
Cat fac 4  x  91  = .........*364
Cat fac 192  -  82  = .........*110
Cat fac 88  +  96  = .........*184
Cat fac 9 : 9  = .........*1
Cat fac 174 : 2  = .........*87
Cat fac 126  -  54  = .........*72
Cat fac 1  x  75  = .........*75
Cat fac 2  x  31  = .........*62
Cat fac 110  -  70  = .........*40
Cat fac 4  +  69  = .........*73
Cat fac 138  -  69  = .........*69
Cat fac 432 : 8  = .........*54
Cat fac 75  +  78  = .........*153
Cat fac 100  -  35  = .........*65
Cat fac 13  x  97  = .........*1261
Cat fac 36  +  72  = .........*108
Cat fac 194  -  57  = .........*137
Cat fac 71  +  9  = .........*80
Cat fac 72  +  44  = .........*116
Cat fac 82 : 1  = .........*82
Cat fac 12  x  10  = .........*120
Cat fac 3  x  13  = .........*39
Cat fac 174  -  88  = .........*86
Cat fac 76 : 1  = .........*76
Cat fac 103  -  61  = .........*42
Cat fac 7  +  51  = .........*58
Cat fac 37  +  2  = .........*39
Cat fac 7  x  26  = .........*182
Cat fac 41  +  22  = .........*63
Cat fac 198  -  43  = .........*155
Cat fac 173  -  33  = .........*140
Cat fac 192  -  92  = .........*100
Cat fac 70  +  81  = .........*151
Cat fac 86  +  89  = .........*175
Cat fac 138  -  69  = .........*69
Cat fac 5  +  28  = .........*33
Cat fac 810 : 10  = .........*81
Cat fac 90  +  53  = .........*143
Cat fac 82  +  86  = .........*168
Cat fac 13  +  5  = .........*18
Cat fac 90 : 2  = .........*45
Cat fac 61  +  75  = .........*136
Cat fac 142  -  53  = .........*89
Cat fac 85  +  31  = .........*116
Cat fac 154  -  14  = .........*140
Cat fac 5  x  26  = .........*130
Cat fac 113  -  35  = .........*78
Cat fac 171  -  80  = .........*91
Cat fac 410 : 5  = .........*82
Cat fac 195  -  96  = .........*99
Cat fac 128  -  11  = .........*117
Cat fac 91  +  65  = .........*156
Cat fac 6  x  1  = .........*6
Cat fac 138  -  91  = .........*47
Cat fac 93  +  9  = .........*102
Cat fac 9  x  48  = .........*432
Cat fac 85  +  81  = .........*166
Cat fac 7  +  12  = .........*19
Cat fac 4  x  86  = .........*344
Cat fac 425 : 5  = .........*85
Cat fac 161  -  72  = .........*89
Cat fac 117  -  79  = .........*38
Cat fac 8  +  97  = .........*105
Cat fac 91  +  60  = .........*151
Cat fac 15  +  82  = .........*97
Cat fac 130  -  62  = .........*68
Cat fac 296 : 4  = .........*74
Cat fac 50  +  4  = .........*54
Cat fac 78  +  56  = .........*134
Cat fac 163  -  89  = .........*74
Cat fac 32 : 1  = .........*32
Cat fac 178 : 2  = .........*89
Cat fac 61  +  15  = .........*76
Cat fac 175  -  20  = .........*155
Cat fac 15  +  42  = .........*57
Cat fac 672 : 8  = .........*84
Cat fac 6  x  29  = .........*174
Cat fac 470 : 5  = .........*94
Cat fac 197  -  50  = .........*147
Cat fac 11  x  27  = .........*297
Cat fac 73 : 1  = .........*73
Cat fac 18  +  17  = .........*35
Cat fac 63  +  83  = .........*146
Cat fac 88  +  58  = .........*146
Cat fac 336 : 4  = .........*84
Cat fac 13  x  12  = .........*156
Cat fac 7  x  61  = .........*427
Cat fac 6  x  53  = .........*318
Cat fac 158  -  24  = .........*134
Cat fac 190  -  76  = .........*114
Cat fac 15  x  100  = .........*1500
Cat fac 82  +  30  = .........*112
Cat fac 440 : 10  = .........*44
Cat fac 15  +  32  = .........*47
Cat fac 75 : 3  = .........*25
Cat fac 240 : 10  = .........*24
Cat fac 38  +  26  = .........*64
Cat fac 14  x  90  = .........*1260
Cat fac 3  +  45  = .........*48
Cat fac 23  +  29  = .........*52
Cat fac 161  -  62  = .........*99
Cat fac 7  x  96  = .........*672
Cat fac 164  -  93  = .........*71
Cat fac 196  -  86  = .........*110
Cat fac 71  +  32  = .........*103
Cat fac 87  +  99  = .........*186
Cat fac 51  +  12  = .........*63
Cat fac 44  +  93  = .........*137
Cat fac 97  +  62  = .........*159
Cat fac 156 : 2  = .........*78
Cat fac 15  x  26  = .........*390
Cat fac 1  x  64  = .........*64
Cat fac 6  x  56  = .........*336
Cat fac 81  +  32  = .........*113
Cat fac 13  x  87  = .........*1131
Cat fac 197  -  74  = .........*123
Cat fac 980 : 10  = .........*98
Cat fac 48  +  3  = .........*51
Cat fac 10  x  75  = .........*750
Cat fac 6  x  20  = .........*120
Cat fac 169  -  72  = .........*97
Cat fac 121  -  65  = .........*56
Cat fac 20 : 2  = .........*10
Cat fac 3  x  82  = .........*246
Cat fac 4  x  66  = .........*264
Cat fac 162 : 6  = .........*27
Cat fac 153  -  19  = .........*134
Cat fac 14  x  85  = .........*1190
Cat fac 267 : 3  = .........*89
Cat fac 173  -  100  = .........*73
Cat fac 189 : 7  = .........*27
Cat fac 522 : 6  = .........*87
Cat fac 126  -  13  = .........*113
Cat fac 137  -  89  = .........*48
Cat fac 131  -  55  = .........*76
Cat fac 4  x  96  = .........*384
Cat fac 153  -  17  = .........*136
Cat fac 602 : 7  = .........*86
Cat fac 137  -  33  = .........*104
Cat fac 6  x  10  = .........*60
Cat fac 4  x  51  = .........*204
Cat fac 216 : 3  = .........*72
Cat fac 16  +  5  = .........*21
Cat fac 279 : 3  = .........*93
Cat fac 97  +  95  = .........*192
Cat fac 175  -  23  = .........*152
Cat fac 231 : 3  = .........*77
Cat fac 3  x  27  = .........*81
Cat fac 88  +  4  = .........*92
Cat fac 6  x  57  = .........*342
Cat fac 22  +  36  = .........*58
Cat fac 75 : 5  = .........*15
Cat fac 27  +  20  = .........*47
Cat fac 18  +  17  = .........*35
Cat fac 756 : 9  = .........*84
Cat fac 7  x  49  = .........*343
Cat fac 7  x  4  = .........*28
Cat fac 95  +  79  = .........*174
Cat fac 192 : 3  = .........*64
Cat fac 2  +  9  = .........*11
Cat fac 81  +  68  = .........*149
Cat fac 155  -  29  = .........*126
Cat fac 6  x  35  = .........*210
Cat fac 13  x  75  = .........*975
Cat fac 267 : 3  = .........*89
Cat fac 164 : 4  = .........*41
Cat fac 26  +  41  = .........*67
Cat fac 88  +  45  = .........*133
Cat fac 350 : 7  = .........*50
Cat fac 16  +  68  = .........*84
Cat fac 148  -  59  = .........*89
Cat fac 60 : 10  = .........*6
Cat fac 20  +  65  = .........*85
Cat fac 201 : 3  = .........*67
Cat fac 14  x  69  = .........*966
Cat fac 67  +  24  = .........*91
Cat fac 58  +  2  = .........*60
Cat fac 46  +  57  = .........*103
Cat fac 137  -  95  = .........*42
Cat fac 333 : 9  = .........*37
Cat fac 73  +  91  = .........*164
Cat fac 50  +  32  = .........*82
Cat fac 32  +  80  = .........*112
Cat fac 147  -  15  = .........*132
Cat fac 107  -  36  = .........*71
Cat fac 510 : 10  = .........*51
Cat fac 43 : 1  = .........*43
Cat fac 107  -  25  = .........*82
Cat fac 64  +  39  = .........*103
Cat fac 60  +  79  = .........*139
Cat fac 68  +  68  = .........*136
Cat fac 80 : 4  = .........*20
Cat fac 285 : 3  = .........*95
Cat fac 57 : 1  = .........*57
Cat fac 111  -  35  = .........*76
Cat fac 130  -  31  = .........*99
Cat fac 12  x  66  = .........*792
Cat fac 64  +  87  = .........*151
Cat fac 83  +  80  = .........*163
Cat fac 70 : 2  = .........*35
Cat fac 70 : 1  = .........*70
Cat fac 177  -  68  = .........*109
Cat fac 8  x  72  = .........*576
Cat fac 13  x  47  = .........*611
Cat fac 106  -  14  = .........*92
Cat fac 58  +  33  = .........*91
Cat fac 5  +  59  = .........*64
Cat fac 14  x  88  = .........*1232
Cat fac 316 : 4  = .........*79
Cat fac 92  +  64  = .........*156
Cat fac 7  x  19  = .........*133
Cat fac 63 : 7  = .........*9
Cat fac 360 : 4  = .........*90
Cat fac 12 : 6  = .........*2
Cat fac 470 : 10  = .........*47
Cat fac 46  +  86  = .........*132
Cat fac 54  +  38  = .........*92
Cat fac 7  x  74  = .........*518
Cat fac 396 : 4  = .........*99
Cat fac 4  x  14  = .........*56
Cat fac 272 : 4  = .........*68
Cat fac 170  -  19  = .........*151
Cat fac 15  +  17  = .........*32
Cat fac 119  -  38  = .........*81
Cat fac 75  +  33  = .........*108
Cat fac 8  x  10  = .........*80
Cat fac 27  +  7  = .........*34
Cat fac 5  x  78  = .........*390
Cat fac 5  x  19  = .........*95
Cat fac 3  x  42  = .........*126
Cat fac 174  -  39  = .........*135
Cat fac 6  x  65  = .........*390
Cat fac 88 : 1  = .........*88
Cat fac 118  -  43  = .........*75
Cat fac 30 : 6  = .........*5
Cat fac 11  x  21  = .........*231
Cat fac 190 : 10  = .........*19
Cat fac 172 : 4  = .........*43
Cat fac 78  +  66  = .........*144
