Sport*Aicha*3
Ce jucator de tenis s-a nascut pe 8 August 1981 la Basel,in Elvetia*Roger Federer
care este primul tenismen, dupa Bjorn Borg, care a castigat Roland Garros si Wimbledon in acelasi an?*Rafael Nadal
Jucator de tenis roman*Andrei Pavel
Care este cel mai bun jucator de tenis din istoria Argentinei*Guillermo Vilas
Jucator de tenis roman*Victor Hanescu
Jucator de tenis roman*Florin Segarceanu
Jucator de tenis roman*Florin Mergea
Jucator de tenis roman*Ilie Nastase
Jucator de tenis roman*Ion Tiriac
Jucator de tenis roman*Horia Tecau
Jucator de tenis roman*Gabriel Trifu
Jucator de tenis american*Andre Agassi
Jucator de tenis american*James Blake
Jucator de tenis american*Andy Roddick
Jucatoare americana de tenis *Monica Seles
Jucator de tenis spaniol*Juan Carlos Ferrero
Jucator de tenis spaniol*Carlos Moya
Jucator de tenis spaniol*Rafael Nadal
Jucator de tenis spaniol*Tommy Robredo
Jucator de tenis spaniol*Fernando Verdasco
Cum se numeste punctul facut direct din serviciu in tenis*As
Cum se numeste lovitura de stanga in tenis*rever
Cum se numeste lovitura trimisa in diagonala terenului la tenis*cross
Minge inalta, trimisa peste adversarul venit la fileu*lob
Minge trimisa in lungul terenului, paralel si foarte aproape de linia laterala*lung de linie
Seria de lovituri efectuate in cadrul disputarii punctului in tenis*raliu
Lovirea mingii in zbor, inainte de a cadea in teren*voleu
Jucator de tenis chilian*Fernando Gonzales
Jucator de tenis chilian*Nicolas Massu
Jucator de tenis argentinian*Guillermo Canas
Jucator de tenis argentinian*Guillermo Coria
Jucator de tenis argentinian*Juan Monaco
Jucator de tenis argentinian*Augustin Calleri
Jucator de tenis argentinian*Jose Acasuso
Jucator de tenis argentinian*Mariano Zabaleta
Jucator de tenis argentinian*Juan Ignacio Chela
Jucator de tenis argentinian*David Nalbandian
Jucatoare de tenis din Rusia*Maria Sharapova
Jucatoare de tenis din Belgia*Justine Henin
Jucator de tenis francez*Gael Monfils
Jucator de tenis australian*Lleyton Hewitt
Campion la Australian Open*Andre Agassi
Campion la Australian Open*Marat Safin
Campion la Australian Open*Stefan Edberg
Campion la Roland Garros*Juan Carlos Ferrero
Campion la Roland Garros*Daniel Nestor
Campion la U.S.Open*Andy Roddick
Campion la U.S.Open*Pete Sampras
Campion la U.S.Open*Boris Becker
Campion la Wimbledon*Roger Federer
